Index,Compensation,WorkLife,Org Id,Satisfaction,Opportunity,Leadership
90,reimbursement of some kind. injury. money. usually from an employer to an employee. workers comp. ,time for family. a set and manageable workday. work at work and no work at home. peace. ability to have flexible days especially for important events.,acceptance. willingness to teach. learned skills. ready to fulfill a role. community.,good pay. good environment. strong management. work-life balance. flexibility.,raise. opportunity. a chance to move up within a company. advancement opportunity. job growth.  ,respect. high level management skill. communication skills. knowing how to handle disputes. an influence in the workplace.
91,"Insurance Benefits, Retirement plan, Overtime pay, Profit sharing or stock options, and compensated time off.","Paid time off, flexible hours, respect time off, reward healthy habits, and activities that involve the family.","general attitude in the organization, how they structure themselves, what type of clothing they wear, how they conduct business, and the way the building or organization looks.","meaning, pay, bonuses, opportunities for advancement, and challenges.","Where it can take you, the positions that are available, how much you make, economic restraints, and how others act.","fairness, sharing, responsible for there actions, power sharing, and ethical guidance."
92,"good, sad, mad, bad",good sad mad bad ,good sad mad bad ,good sad mad bad ,good sad bad mad ,good sad mad bad 
93,Money ,Enough time to do everything to live a healthy life ,Your status ,Be happy in your workplace ,Be able to achieve a higher position ,Be able to work with others to achieve a goal
94,1. Money 2. Exchange of something 3. Work 4. Value 5. Pay and benefits ,1. Working from home 2. Not letting work overpower your life 3. Requesting time off 4. Unfair bosses 5. Having time for family ,1. Being organized 2. Identifying ones abilites to be organized 3. Where someone stands in an organization 4. Teamplayer 5. Organizational identification ,1. Being happy at a job 2. being satisified with work done 3. Having good job experineces 4. being happy 5. Going home happy at the end of a work day ,1. Job opportunities 2. How much an employee can grow 3. Career opportunites 4. Being percieved 5. How you look at a job ,1. Being a leader 2. Being a team player 3. Leading a team in an assignment 4. Achieving 5. Influencing 
95,"Health care, Insurance, Retirement, Salary, bonuses","Freedom, family, time, hobbies, vacation","Corprate companies, ","work life balance, income, time off, guidence, ","Enjoyment, loving what you do for work, ","planning, analyzing, people skills, motivated"
96,- pay check - getting paid - money - agreed upon payment for completing work - benefits/bonuses,- Equilibrium - time management - difficult to find balance in - set aside time for personal time ,-self values - self image - style - common interests - job satisfaction,- good environment -  good leaders - enough work to keep you busy but not too much,"- good opportunities for advancement - goals are inline with the superior's- its a good job- the work load isn't ever ""too"" much",- Boss - Someone in charge - Persuader - Important position - The group relies on your decision making
97,"I think of compensation as rewards, monetary, benefits, skills and bonuses. ","Family, Employer, money, balance, wife.",Belonging Loyalty Commitment Pride Unity,Fulfillment Contentment Engagement Happiness Gratification,Growth Advancement Potential Development Progression,Visionary Influence Guidance Inspiration Empowerment
98,- Money - Payments to someone - Getting paid for doing something - Paying a business - Not a lot of money but partial amount of a total amount of money.,- Stress free - Living a balanced good life - Being able to be successful and not procrastinate - Being happy - Staying on top of everything they need to do,- Knowing what you want for yourself - Wanting to better yourself - Change yourself for a specific - Making a committment - Proud of themselves,- Good management - Good employees - Being a good employee - Getting your job completed - Staying on top of your duties ,- Sometimes minimal opportunites - Growth - Being satisfied with your job -Knowing what you like - May value your job more,- Strong minded person - Manager - Taking on lots of responsibility - Can handle tuff situations - In charge of many people
99,*salary *benefits * bonuses* paid leave * wages,*managing time *energy*personal time* prioritizing*self care,* strength *commitment *emotion * behavior* cognition,*support * growth * engaging * relationships *achievements,* purpose * ideas * projects * create *expertise,* inspire * communicate* accountability *trustworthiness *resilience
